qseqid,best_evalue_cecidomyiid,best_bitscore_cecidomyiid,best_hit_cecidomyiid,best_pident_cecidomyiid,best_evalue_sciarid,best_bitscore_sciarid,best_hit_sciarid,best_pident_sciarid,best_evalue_outgroup,best_bitscore_outgroup,best_hit_outgroup,best_pident_outgroup,alien_index,bitscore_diff_cec_minus_sci,outgroup_flag,interpretation
g8951.t1,0.0,757.0,g9395.t1,71.528,1.2e-107,330.0,s4788.t1,43.796,1.6299999999999999e-91,293.0,ref|XP_061514312.1|,48.257,214.32273520524024,427.0,ok,cecidomyiid-like
g83.t1,1.28e-166,484.0,g10208.t2,85.328,1.42e-73,241.0,s8539.t1,44.788,1.0799999999999999e-69,233.0,ref|XP_061506102.1|,40.767,214.24421044212787,243.0,ok,cecidomyiid-like
g10308.t1,3.8100000000000006e-123,363.0,g8428.t1,73.665,4.1999999999999996e-30,118.0,s12757.t1,38.095,4.99e-63,209.0,ref|XP_061498266.1|,47.35,214.23786898459696,245.0,ok,cecidomyiid-like
g2084.t1,7.319999999999999e-94,271.0,g13831.t2,84.896,0.76,30.4,s10466.t1,26.471,2.39e-14,70.1,ref|XP_061512682.1|,30.508,214.17795156776532,240.6,ok,cecidomyiid-like
g7833.t1,2.11e-137,399.0,g10462.t1,50.812,2.1200000000000001e-44,157.0,s8010.t1,33.149,1.13e-17,84.3,ref|XP_061508617.1|,27.241,214.14514178964217,242.0,ok,cecidomyiid-like
g16187.t1,3.5200000000000003e-100,303.0,g1463.t1,38.404,3.53e-07,49.3,s2366.t1,32.308,5.15e-05,44.3,ref|XP_061513939.1|,27.5,214.14325052978143,253.7,ok,cecidomyiid-like
g4399.t1,1.22e-93,287.0,g7908.t1,73.5,1.2,29.6,s14393.t1,19.811,0.34,32.7,ref|XP_061513354.1|,22.564,214.12388434649506,257.4,ok,cecidomyiid-like
g7584.t2,1.36e-106,307.0,g7092.t1,68.545,1.32e-13,67.4,s10629.t2,42.857,1.19e-14,70.5,ref|XP_001230905.2|,36.8,214.11056068529658,239.6,ok,cecidomyiid-like
g13069.t1,1.25e-108,333.0,g7841.t1,41.053,1.14e-15,78.6,s8762.t2,24.311,6.0,30.4,ref|XP_061508553.1|,25.217,214.04829835953845,254.4,ok,cecidomyiid-like
g11246.t1,1.2799999999999998e-150,460.0,g962.t1,69.677,1.13e-57,201.0,s13982.t1,36.943,1.59e-32,129.0,ref|XP_061513320.1|,30.651,214.01577120323898,259.0,ok,cecidomyiid-like
g897.t1,9.949999999999999e-115,358.0,g5807.t1,84.198,8.61e-22,97.8,s5828.t1,37.143,6.21e-12,68.6,ref|XP_061513142.1|,34.054,213.99576541571537,260.2,ok,cecidomyiid-like
g16894.t1,0.0,593.0,g9213.t2,57.993,8.199999999999999e-108,333.0,s4422.t1,57.329,1.42e-77,256.0,ref|XP_061509542.1|,59.391,213.94196270972245,260.0,ok,cecidomyiid-like
g10696.t1,4.88e-147,462.0,g11643.t1,60.941,3.9199999999999997e-54,196.0,s7340.t1,37.416,2.8900000000000002e-31,129.0,ref|XP_061518946.1|,37.278,213.92136008238356,266.0,ok,cecidomyiid-like
g2106.t1,1.91e-104,334.0,g13851.t1,70.833,1.45e-11,65.1,s15064.t1,44.578,4.73e-06,48.9,ref|XP_061497756.1|,90.909,213.86487396282018,268.9,ok,cecidomyiid-like
g3520.t1,0.0,783.0,g10870.t2,68.271,7.52e-108,335.0,s5814.t1,37.611,2.15e-98,311.0,ref|XP_061505047.1|,39.412,213.85539469341398,448.0,ok,cecidomyiid-like
g124.t1,0.0,950.0,g5542.t2,75.453,6.5699999999999996e-108,341.0,s5444.t1,37.899,5.77e-49,185.0,ref|XP_061510997.1|,42.034,213.72034238794873,609.0,ok,cecidomyiid-like
g5589.t1,0.0,760.0,g8922.t2,73.603,6.5499999999999995e-108,355.0,s8259.t1,45.854,2.51e-51,185.0,ref|XP_061502968.1|,32.277,213.7172936050994,405.0,ok,cecidomyiid-like
g40.t1,1.78e-159,461.0,g732.t2,53.333,1.16e-66,222.0,s11429.t1,33.333,4.41e-29,119.0,ref|XP_321172.6|,26.557,213.7122202892605,239.0,ok,cecidomyiid-like
g19745.t1,0.0,2078.0,g10806.t1,68.282,6.45e-108,389.0,s772.t6,34.297,8.71e-68,257.0,ref|XP_061511033.1|,54.357,213.7019086862599,1689.0,ok,cecidomyiid-like
g9532.t1,0.0,1181.0,g10549.t3,49.418,6.32e-108,369.0,s3130.t2,34.623,7.360000000000001e-27,120.0,ref|XP_061515986.1|,38.725,213.68154776361098,812.0,ok,cecidomyiid-like
g289.t1,1.19e-131,396.0,g12618.t1,37.521,7.14e-39,150.0,s9544.t1,23.939,2.99e-30,125.0,ref|XP_061514022.1|,23.711,213.62958802468026,246.0,ok,cecidomyiid-like
g11082.t1,5.07e-178,511.0,g4204.t1,69.526,3.03e-85,273.0,s15571.t1,44.491,1.95e-36,142.0,ref|XP_311270.6|,55.479,213.62563545036443,238.0,ok,cecidomyiid-like
g15928.t1,5.7e-98,298.0,g7204.t2,40.196,3.2e-05,45.4,s13667.t1,22.667,5.42e-05,45.8,ref|XP_061504134.1|,27.407,213.56309828341142,252.6,ok,cecidomyiid-like
g17840.t1,0.0,805.0,g11817.t3,80.427,4.87e-108,356.0,s5569.t1,48.21,4.37e-71,249.0,ref|XP_061500517.1|,43.77,213.42092249254674,449.0,ok,cecidomyiid-like
g9532.t2,0.0,1179.0,g10549.t3,49.599,4.37e-108,369.0,s3130.t2,34.717,2.3199999999999997e-28,125.0,ref|XP_061515986.1|,31.503,213.3125915645597,810.0,ok,cecidomyiid-like
g168.t1,0.0,521.0,g8385.t2,87.462,4.13e-108,321.0,s17107.t1,64.286,1.1e-58,200.0,ref|XP_061515216.1|,40.489,213.25610596242515,200.0,ok,cecidomyiid-like
g13072.t1,2.08e-94,273.0,g7839.t1,68.063,0.076,32.7,s1427.t1,21.831,6.07e-08,51.6,ref|XP_001688786.2|,25.18,213.13360890903127,240.3,ok,cecidomyiid-like
g14749.t1,4.1e-155,436.0,g11686.t2,64.952,1.34e-62,201.0,s109.t1,37.987,3.19e-60,208.0,ref|XP_563710.4|,39.441,213.02209628869883,235.0,ok,cecidomyiid-like
g17861.t1,2.57e-159,444.0,g7858.t1,73.665,8.16e-67,209.0,s7644.t1,37.634,3.5e-65,206.0,ref|XP_314722.5|,37.363,212.99316682552112,235.0,ok,cecidomyiid-like
g2436.t1,7.78e-93,265.0,g13078.t1,84.722,2.3,27.7,s765.t1,32.609,0.27,31.6,ref|XP_061504085.1|,26.389,212.92176643319104,237.3,ok,cecidomyiid-like
g19577.t1,0.0,514.0,g11232.t2,85.574,2.9399999999999998e-108,326.0,s3941.t1,55.219,2.24e-80,254.0,ref|XP_061515737.1|,50.833,212.9162381368028,188.0,ok,cecidomyiid-like
g15929.t1,9.48e-98,297.0,g7204.t2,40.494,2.66e-05,45.1,s5399.t1,23.645,0.000677,42.4,ref|XP_061509353.1|,21.356,212.86955545497293,251.9,ok,cecidomyiid-like
g6282.t1,0.0,580.0,g10746.t2,67.765,2.68e-108,323.0,s219.t1,44.159,4.0599999999999995e-24,105.0,ref|XP_061498938.1|,34.737,212.82364534997498,257.0,ok,cecidomyiid-like
g5608.t3,0.0,621.0,g8907.t1,79.211,2.34e-108,327.0,s5650.t2,48.368,3.26e-87,272.0,ref|XP_061517677.1|,46.349,212.68797948482182,294.0,ok,cecidomyiid-like
g2358.t1,0.0,650.0,g12107.t2,67.629,2.2099999999999998e-108,330.0,s2447.t2,39.503,2.42e-45,166.0,ref|XP_061518558.1|,27.436,212.63082107098188,320.0,ok,cecidomyiid-like
g15927.t1,2.8e-157,439.0,g8125.t1,86.532,6.0800000000000004e-65,205.0,s16644.t1,57.241,3.1,30.4,ref|XP_061496453.1|,25.758,212.6132138342491,234.0,ok,cecidomyiid-like
g3267.t1,5.439999999999999e-104,296.0,g10446.t1,76.064,1.14e-11,61.2,s9532.t1,28.342,1.24e-05,45.1,ref|XP_308253.5|,23.469,212.5776628499848,234.8,ok,cecidomyiid-like
g13292.t1,8.27e-94,267.0,g7302.t1,92.857,0.17,31.2,s776.t1,38.095,9.19e-52,161.0,ref|XP_003436100.1|,53.521,212.5584073904728,235.8,ok,cecidomyiid-like
g15439.t1,7.76e-141,405.0,g10749.t1,56.298,1.43e-48,167.0,s219.t1,30.649,3.98e-20,91.3,ref|XP_061502781.1|,25.187,212.44910575852293,238.0,ok,cecidomyiid-like
g2084.t2,4.23e-93,269.0,g13831.t1,84.817,0.75,30.4,s10466.t1,26.471,2.66e-14,69.7,ref|XP_061512682.1|,30.508,212.41052958293628,238.6,ok,cecidomyiid-like
g14964.t1,0.0,645.0,g161.t1,42.636,1.66e-108,361.0,s5536.t1,38.406,5.58e-54,206.0,ref|XP_061515680.1|,30.172,212.34464615782068,284.0,ok,cecidomyiid-like
g11263.t1,1.9999999999999998e-172,494.0,g2156.t1,75.915,3.2800000000000002e-80,254.0,s14468.t1,45.221,2.42e-70,233.0,ref|XP_311838.5|,44.203,212.3325247972883,240.0,ok,cecidomyiid-like
g16120.t1,0.0,568.0,g4854.t1,87.013,1.48e-108,317.0,s4847.t1,50.645,3.25e-108,318.0,ref|XP_061510397.1|,50.658,212.22987064322825,251.0,ok,cecidomyiid-like
g19026.t1,3.03e-169,481.0,g7940.t1,54.481,4.42e-77,248.0,s13224.t1,35.99,4.7900000000000005e-65,214.0,ref|XP_003435874.2|,34.225,212.21540563202055,233.0,ok,cecidomyiid-like
g2434.t1,0.0,580.0,g13080.t2,88.291,1.43e-108,322.0,s15626.t1,53.797,1.0300000000000001e-80,253.0,ref|XP_321090.5|,42.216,212.19550299972403,258.0,ok,cecidomyiid-like
g11624.t1,6.53e-100,301.0,g1544.t1,41.176,9.13e-08,53.1,s14298.t1,25.0,2.25e-05,47.0,ref|XP_061504134.1|,20.803,212.17298730677075,247.9,ok,cecidomyiid-like
g7093.t1,6.52e-174,483.0,g5180.t1,81.0,9e-82,249.0,s1429.t1,46.844,1.46e-49,171.0,ref|XP_555357.3|,39.013,212.1601787568499,234.0,ok,cecidomyiid-like
g3513.t2,0.0,731.0,g10864.t2,89.313,1.33e-108,328.0,s2613.t1,46.216,7.73e-88,276.0,ref|XP_318537.3|,39.426,212.12300749768588,403.0,ok,cecidomyiid-like
g6301.t1,0.0,897.0,g11190.t1,69.421,1.2799999999999999e-108,351.0,s7173.t1,38.996,2.53e-99,335.0,ref|XP_061500338.1|,81.183,212.08468863338376,546.0,ok,cecidomyiid-like
g1246.t1,1.97e-155,437.0,g4774.t1,69.565,2.44e-63,201.0,s3482.t1,44.728,1.9799999999999998e-55,183.0,ref|XP_061512312.1|,37.725,212.05179305200738,236.0,ok,cecidomyiid-like
g12560.t1,7.170000000000001e-103,307.0,g522.t1,58.511,8.37e-11,60.8,s11332.t1,22.105,4.0,29.6,ref|XP_319626.5|,26.042,211.99257678534204,246.2,ok,cecidomyiid-like
g3336.t1,0.0,690.0,g11231.t2,73.019,1.06e-108,328.0,s3943.t1,40.839,2.74e-111,337.0,ref|XP_320712.5|,39.286,211.8960974635762,362.0,ok,cecidomyiid-like
g7666.t1,4.36e-93,272.0,g200.t1,57.983,0.39,31.2,s5846.t1,27.16,0.51,32.0,ref|XP_061513968.1|,28.07,211.72633305122687,240.8,ok,cecidomyiid-like
g13473.t1,0.0,522.0,g5923.t2,70.76,8.76e-109,340.0,s1608.t1,49.679,4.74e-96,301.0,ref|XP_061516592.1|,45.704,211.70543936740648,182.0,ok,cecidomyiid-like
g2628.t1,0.0,570.0,g13761.t1,88.997,8.640000000000001e-109,319.0,s15704.t1,59.756,0.83,32.3,ref|XP_001689304.2|,17.514,211.69164604527415,251.0,ok,cecidomyiid-like
g14174.t1,0.0,545.0,g6933.t4,62.138,7.71e-109,342.0,s15335.t1,51.404,1.06e-80,268.0,ref|XP_061517135.1|,44.186,211.5777616500334,203.0,ok,cecidomyiid-like
g3292.t1,3.9199999999999995e-95,293.0,g9502.t1,42.797,0.003,39.3,s698.t2,28.0,0.19,35.0,ref|XP_061519464.1|,27.143,211.57034919031793,253.7,ok,cecidomyiid-like
g896.t2,1.8700000000000002e-157,439.0,g5808.t1,80.292,1.33e-65,204.0,s5829.t1,43.542,6.649999999999999e-23,96.7,ref|XP_320672.4|,44.444,211.49706906681936,235.0,ok,cecidomyiid-like
g12283.t1,2.8599999999999996e-147,445.0,g11445.t1,37.002,1.89e-55,205.0,s2661.t1,29.05,1.59e-36,148.0,ref|XP_061503806.1|,38.191,211.423583759692,240.0,ok,cecidomyiid-like
g3623.t1,3.1e-92,296.0,g4884.t2,74.648,1.7,29.6,s12347.t1,28.571,2.78e-10,60.8,ref|XP_061518285.1|,33.171,211.2370546950233,266.4,ok,cecidomyiid-like
g14413.t1,0.0,769.0,g1014.t3,73.585,5.06e-109,343.0,s11756.t4,43.784,3.3499999999999996e-91,303.0,ref|XP_061497321.1|,52.147,211.15660994575757,426.0,ok,cecidomyiid-like
g11769.t1,1.23e-93,273.0,g13822.t1,62.802,0.056,33.9,s16131.t1,26.19,5.3199999999999995e-89,261.0,ref|XP_318538.4|,65.775,211.05099589081493,239.1,check_conservation,cecidomyiid-like
g19821.t1,0.0,604.0,g11274.t1,53.785,4.46e-109,365.0,s8591.t1,65.6,1.05e-103,345.0,ref|XP_316120.5|,61.417,211.03039222849014,239.0,ok,cecidomyiid-like
g2982.t1,2e-142,400.0,g13611.t1,74.231,7.68e-51,166.0,s14064.t1,34.979,3.4099999999999998e-40,141.0,ref|XP_061502174.1|,34.921,210.8807158290578,234.0,ok,cecidomyiid-like
g3513.t1,0.0,707.0,g10864.t2,89.267,3.61e-109,329.0,s2613.t1,46.216,5.06e-88,276.0,ref|XP_318537.3|,39.426,210.81895123480297,378.0,ok,cecidomyiid-like
g3861.t1,2.48e-92,268.0,g4463.t1,69.231,0.78,30.4,s10669.t1,36.17,3.9,28.9,ref|XP_061513841.1|,25.581,210.6811086359768,237.6,ok,cecidomyiid-like
g16974.t1,9.229999999999999e-176,526.0,g8681.t1,71.462,2.88e-84,279.0,s2059.t1,46.099,4.9e-80,269.0,ref|XP_061507169.1|,43.202,210.6731598010853,247.0,ok,cecidomyiid-like
g5706.t1,0.0,673.0,g8971.t1,78.554,2.48e-109,326.0,s17066.t1,53.821,3.39e-71,233.0,ref|XP_061514699.1|,47.059,210.44350202263507,347.0,ok,cecidomyiid-like
g3971.t1,2.38e-108,333.0,g8560.t2,78.788,4.88e-17,80.1,s16271.t1,24.479,9.740000000000001e-110,339.0,ref|XP_061500935.1|,80.303,210.25328819463982,252.9,check_conservation,cecidomyiid-like
g15660.t1,0.0,961.0,g5292.t2,78.559,1.9600000000000001e-109,340.0,s5272.t2,35.93,4.95e-63,226.0,ref|XP_061510225.1|,40.824,210.2081879357006,621.0,ok,cecidomyiid-like
g15668.t1,0.0,961.0,g5292.t2,78.559,1.9600000000000001e-109,340.0,s5272.t2,35.93,4.95e-63,226.0,ref|XP_061510225.1|,40.824,210.2081879357006,621.0,ok,cecidomyiid-like
g11986.t1,2.55e-92,270.0,g1069.t1,71.751,0.49,30.4,s16723.t1,31.818,0.59,31.6,ref|XP_061512482.1|,23.077,210.1883853084044,239.6,ok,cecidomyiid-like
g9421.t1,7.42e-101,329.0,g15722.t1,29.177,1.42e-09,61.2,s16943.t1,26.064,1.99e-07,55.8,ref|XP_319999.4|,25.905,210.1843063698861,267.8,ok,cecidomyiid-like
g13169.t1,6.1e-101,298.0,g8.t1,50.515,1.1e-09,58.9,s16179.t1,33.333,1.91e-08,56.2,ref|XP_061518944.1|,27.225,210.12484996407727,239.1,ok,cecidomyiid-like
g15018.t1,0.0,572.0,g4854.t1,87.662,1.78e-109,320.0,s4847.t1,52.581,1.95e-110,324.0,ref|XP_320011.5|,51.466,210.11185682676216,252.0,ok,cecidomyiid-like
g11214.t1,1.89e-114,342.0,g10179.t1,64.746,3.2799999999999995e-23,98.2,s6027.t1,28.713,3.7e-17,81.6,ref|XP_061511467.1|,33.5,210.08651005578264,243.8,ok,cecidomyiid-like
g9879.t1,1.45e-121,394.0,g11300.t1,39.456,2.38e-30,127.0,s576.t1,28.337,7.3999999999999995e-28,121.0,ref|XP_317740.5|,26.653,210.03078039370905,267.0,ok,cecidomyiid-like
g14206.t1,7.709999999999999e-93,296.0,g6971.t1,71.963,0.096,33.1,s4422.t1,25.714,3.3100000000000004e-26,106.0,ref|XP_061506441.1|,51.485,209.7544883733567,262.9,ok,cecidomyiid-like
g5633.t2,3.38e-109,325.0,g11034.t1,43.288,3.71e-18,84.7,s14297.t1,24.513,1.5e-09,59.7,ref|XP_318760.2|,21.223,209.6283996295826,240.3,ok,cecidomyiid-like
g10570.t1,7.53e-114,323.0,g8187.t1,79.717,8.229999999999999e-23,90.9,s4850.t1,37.383,5.2e-05,43.1,ref|XP_061512755.1|,39.216,209.62413443533535,232.1,ok,cecidomyiid-like
g53.t1,0.0,508.0,g9645.t2,92.748,1.0500000000000001e-109,323.0,s7399.t1,58.14,6.41e-96,290.0,ref|XP_061496886.1|,54.545,209.58403362662762,185.0,ok,cecidomyiid-like
g2265.t1,0.0,668.0,g13821.t2,87.465,1.0400000000000001e-109,323.0,s15133.t1,49.842,1.5600000000000001e-80,250.0,ref|XP_316858.5|,41.967,209.57446417561147,345.0,ok,cecidomyiid-like
g2830.t1,0.0,690.0,g13385.t2,84.115,9.890000000000001e-110,326.0,s16438.t1,44.054,3.08e-112,333.0,ref|XP_311150.6|,44.241,209.52418251509874,364.0,ok,cecidomyiid-like
g3093.t1,0.0,936.0,g13716.t2,80.903,8.55e-110,363.0,s15008.t1,50.4,5.01e-05,48.1,ref|XP_321600.6|,28.058,209.3785896524128,573.0,ok,cecidomyiid-like
g19673.t1,0.0,1556.0,g16076.t3,72.059,7.870000000000001e-110,371.0,s8661.t1,32.612,2.81e-22,105.0,ref|XP_001688305.3|,43.709,209.29571643189345,1185.0,ok,cecidomyiid-like
g11019.t1,0.0,513.0,g10445.t2,91.608,7.56e-110,318.0,s833.t3,61.922,8.36e-112,324.0,ref|XP_320160.4|,61.597,209.25552955965557,195.0,ok,cecidomyiid-like
g8287.t1,1.43e-123,378.0,g2324.t4,88.306,1.07e-32,125.0,s12971.t2,39.245,3.07e-15,75.9,ref|XP_061502513.1|,33.816,209.24522766666018,253.0,ok,cecidomyiid-like
g7109.t2,0.0,531.0,g5015.t2,59.861,6.390000000000001e-110,330.0,s5447.t1,38.673,4.98e-101,310.0,ref|XP_061516979.1|,38.128,209.08739263785358,201.0,ok,cecidomyiid-like
g11254.t2,2.32e-121,360.0,g10853.t1,96.216,1.2799999999999999e-30,117.0,s5349.t1,39.286,4.11e-75,241.0,ref|XP_310646.5|,64.516,208.9405363547115,243.0,ok,cecidomyiid-like
g2987.t1,0.0,756.0,g13605.t2,85.086,4.8900000000000006e-110,336.0,s15255.t1,42.754,4.01e-94,297.0,ref|XP_003436980.2|,37.621,208.8198506729509,420.0,ok,cecidomyiid-like
g5649.t2,0.0,562.0,g8852.t2,77.644,4.41e-110,323.0,s8677.t1,50.667,1.23e-54,182.0,ref|XP_001689282.2|,31.348,208.7165330589229,239.0,ok,cecidomyiid-like
g11254.t1,2.0900000000000002e-122,362.0,g10853.t1,95.722,8.49e-32,120.0,s5349.t1,39.759,5.56e-75,241.0,ref|XP_310646.5|,63.243,208.63438330381064,242.0,ok,cecidomyiid-like
g16129.t1,4.0900000000000003e-122,371.0,g12143.t1,40.092,1.5400000000000002e-31,128.0,s10186.t2,33.123,1.76e-44,167.0,ref|XP_061501868.1|,46.377,208.55848090882898,243.0,ok,cecidomyiid-like
g16132.t1,4.0900000000000003e-122,371.0,g12143.t1,40.092,1.5400000000000002e-31,128.0,s10186.t2,33.123,1.76e-44,167.0,ref|XP_061501868.1|,46.377,208.55848090882898,243.0,ok,cecidomyiid-like
g10316.t1,2.7499999999999997e-140,407.0,g8431.t1,54.201,1.03e-49,172.0,s14659.t1,32.154,1.3e-41,152.0,ref|XP_061503592.1|,28.312,208.55320135302122,235.0,ok,cecidomyiid-like
g5777.t1,0.0,799.0,g9108.t2,81.562,3.4100000000000005e-110,333.0,s2100.t1,43.766,4.33e-79,254.0,ref|XP_061510016.1|,39.521,208.45937066075956,466.0,ok,cecidomyiid-like
g19882.t1,0.0,819.0,g8587.t2,76.923,3.3600000000000004e-110,339.0,s10468.t1,56.55,3.7499999999999995e-95,302.0,ref|XP_061510103.1|,52.188,208.44459934343925,480.0,ok,cecidomyiid-like
g2829.t1,9.05e-175,489.0,g13384.t1,76.452,2.97e-84,257.0,s4160.t1,50.588,1.9300000000000002e-77,242.0,ref|XP_061516460.1|,43.771,208.42104065756095,232.0,ok,cecidomyiid-like
g6489.t2,0.0,520.0,g2169.t2,66.201,3.21e-110,326.0,s11040.t1,46.9,2.9400000000000003e-100,302.0,ref|XP_312115.2|,44.241,208.39892930660605,194.0,ok,cecidomyiid-like
g16296.t1,5.7800000000000004e-145,429.0,g11204.t1,62.617,1.49e-54,190.0,s762.t1,33.033,8.16e-36,140.0,ref|XP_061501332.1|,29.721,208.17961589973123,239.0,ok,cecidomyiid-like
g10210.t1,0.0,672.0,g5136.t1,94.334,2.51e-110,352.0,s2769.t1,51.194,7.57e-173,524.0,ref|XP_554155.4|,67.042,208.1529411226078,320.0,ok,cecidomyiid-like
g17670.t1,5.6300000000000006e-129,397.0,g7006.t1,63.81,1.4e-38,144.0,s7840.t1,31.962,1.78e-41,153.0,ref|XP_312163.6|,32.121,208.1436062569278,253.0,ok,cecidomyiid-like
g6122.t1,0.0,906.0,g10965.t2,90.748,2.3800000000000002e-110,360.0,s10465.t1,44.544,4.97e-10,62.8,ref|XP_061512478.1|,47.541,208.09975885714752,546.0,ok,cecidomyiid-like
g11020.t1,1.7200000000000002e-144,408.0,g10444.t1,67.203,3.6999999999999997e-54,177.0,s9532.t1,40.0,6.330000000000001e-47,159.0,ref|XP_308253.5|,38.043,207.9986668982889,231.0,ok,cecidomyiid-like
g5557.t1,0.0,1863.0,g9062.t2,81.508,2e-110,372.0,s1732.t1,61.484,1.13e-80,293.0,ref|XP_061511184.1|,48.264,207.92580555002408,1491.0,ok,cecidomyiid-like
g7362.t1,9.5e-92,267.0,g6365.t1,84.524,0.17,32.0,s12135.t1,22.772,2.2,29.6,ref|XP_061503941.1|,29.907,207.81457991491382,235.0,ok,cecidomyiid-like
g15137.t1,0.0,680.0,g1935.t2,75.322,1.5400000000000003e-110,333.0,s14184.t1,55.036,2.98e-114,342.0,ref|XP_061497160.1|,61.217,207.66444078588967,347.0,ok,cecidomyiid-like
g3111.t1,9.56e-179,494.0,g12461.t1,87.063,1.36e-88,264.0,s15619.t1,48.485,2.76e-41,144.0,ref|XP_003436475.2|,37.387,207.5851404351428,230.0,ok,cecidomyiid-like
g4422.t1,0.0,524.0,g7518.t2,67.883,1.4e-110,328.0,s15398.t1,50.262,5.37e-100,303.0,ref|XP_312973.5|,43.99,207.56913060608534,196.0,ok,cecidomyiid-like
g7463.t1,0.0,795.0,g5963.t2,65.786,1.37e-110,350.0,s455.t1,69.721,1.65e-97,321.0,ref|XP_061509109.1|,72.059,207.54746910930416,445.0,ok,cecidomyiid-like
g16186.t1,2.3000000000000002e-97,296.0,g1463.t1,36.816,3e-07,49.3,s2366.t1,30.769,6.54e-06,48.5,ref|XP_310172.3|,25.571,207.49836153519712,246.7,ok,cecidomyiid-like
g11012.t1,1.19e-90,271.0,g9503.t1,48.161,1.5,30.0,s3790.t2,29.688,1.4,31.6,ref|XP_319809.3|,24.561,207.46417017044882,241.0,ok,cecidomyiid-like
g5718.t1,2.2299999999999998e-108,325.0,g7221.t1,39.416,2.67e-18,85.9,s13845.t1,24.101,0.002,38.5,ref|XP_314478.2|,28.723,207.41273525640423,239.1,ok,cecidomyiid-like
g4290.t1,0.0,533.0,g2355.t2,71.304,1.07e-110,333.0,s8742.t1,49.56,4.85e-89,279.0,ref|XP_319521.5|,40.164,207.30031701793794,200.0,ok,cecidomyiid-like
g13446.t1,1.8e-112,346.0,g2580.t2,37.447,1.92e-22,102.0,s12936.t2,30.286,6.15e-62,215.0,ref|XP_061512570.1|,25.479,207.2971968906017,244.0,ok,cecidomyiid-like
g1567.t1,0.0,934.0,g13468.t2,64.47,1.0400000000000001e-110,358.0,s14745.t1,44.382,1.3899999999999999e-67,242.0,ref|XP_310403.8|,50.368,207.2718790826174,576.0,ok,cecidomyiid-like
g8111.t2,9.99e-173,500.0,g13071.t1,86.989,1.0299999999999999e-82,265.0,s9505.t1,52.846,3.03e-69,230.0,ref|XP_310532.6|,48.163,207.26321767203925,235.0,ok,cecidomyiid-like
g4351.t1,0.0,606.0,g6575.t2,74.074,9.9e-111,339.0,s16381.t1,49.31,4.83e-84,270.0,ref|XP_061510925.1|,45.31,207.22260803361064,267.0,ok,cecidomyiid-like
g8111.t1,9.53e-173,501.0,g13071.t1,86.667,9.42e-83,266.0,s9505.t1,52.632,3.1899999999999996e-69,230.0,ref|XP_310532.6|,47.967,207.22104874038627,235.0,ok,cecidomyiid-like
g7523.t1,6.7800000000000006e-133,409.0,g1102.t1,39.181,6.27e-43,163.0,s12856.t1,40.435,6.79e-55,205.0,ref|XP_061518535.1|,40.529,207.15445762215663,246.0,ok,cecidomyiid-like
g15009.t1,0.0,659.0,g4859.t1,83.59,9.11e-111,355.0,s3895.t1,46.923,1.13e-79,268.0,ref|XP_061509249.1|,43.314,207.13944598774196,304.0,ok,cecidomyiid-like
g19881.t1,4.27e-133,403.0,g8588.t1,79.231,3.23e-43,155.0,s10403.t1,59.42,8.710000000000001e-35,132.0,ref|XP_061505528.1|,73.81,206.95352667945815,248.0,ok,cecidomyiid-like
g13466.t1,6.829999999999999e-104,313.0,g4894.t1,52.901,5.13e-14,71.6,s6568.t1,21.678,1.08e-05,47.4,ref|XP_321093.5|,21.154,206.94643935506411,241.4,ok,cecidomyiid-like
g5171.t1,1.1799999999999998e-89,264.0,g1700.t1,57.965,8.3,27.3,s11014.t2,45.714,1.83e-74,226.0,ref|XP_306849.3|,50.237,206.88081435279506,236.7,check_conservation,cecidomyiid-like
g11654.t1,1.82e-151,424.0,g5846.t1,87.319,1.22e-61,195.0,s16281.t1,53.68,2.07e-41,145.0,ref|XP_311759.5|,42.8,206.83267272712058,229.0,ok,cecidomyiid-like
g37.t1,0.0,879.0,g733.t2,83.619,6.25e-111,339.0,s11429.t1,42.391,4.67e-51,180.0,ref|XP_061502347.1|,32.573,206.7626547402184,540.0,ok,cecidomyiid-like
g15156.t1,1.11e-90,281.0,g1947.t1,43.983,0.65,32.0,s13979.t1,32.407,0.76,32.7,ref|XP_310545.5|,46.667,206.69751543804742,249.0,ok,cecidomyiid-like
g5071.t1,0.0,802.0,g12325.t3,60.886,5.16e-111,371.0,s12640.t1,43.218,2.51e-22,104.0,ref|XP_061506528.1|,27.088,206.57100985596355,431.0,ok,cecidomyiid-like
g11497.t2,0.0,791.0,g2777.t1,56.371,5.0299999999999996e-111,357.0,s2824.t2,41.492,1.32e-171,497.0,ref|XP_061519126.1|,66.146,206.54549326058174,434.0,ok,cecidomyiid-like
g11502.t2,0.0,791.0,g2777.t1,56.371,5.0299999999999996e-111,357.0,s2824.t2,41.492,1.32e-171,497.0,ref|XP_061519126.1|,66.146,206.54549326058174,434.0,ok,cecidomyiid-like
g3278.t1,2.14e-138,402.0,g9644.t1,53.061,1.0199999999999999e-48,171.0,s10502.t1,44.019,1.04e-50,179.0,ref|XP_313788.5|,40.066,206.49165516772652,231.0,ok,cecidomyiid-like
g15671.t1,3.28e-107,310.0,g5283.t1,63.934,1.51e-17,80.1,s8958.t1,22.881,4.73e-22,92.0,ref|XP_061501934.1|,30.0,206.4569245978949,229.9,ok,cecidomyiid-like
